table_name,column_name,data_type,total_count,null_count,not_null_count,nan_count,percent_null,distinct_count,unique_count,not_unique_count,percent_distinct,min_value,max_value,mean,median,std_dev,q1_25,q2_50_median,q3_75,zero_count,percent_zeros,min_length,max_length,avg_length,min_size,max_size,avg_size,most_frequent_value,highest_frequency,lowest_frequency,top_10_values,top_10_frequencies
olist_order_items_dataset,price,float64,112650,0,112650,0,0.0,5968,2342,110308,5.297825122059476,0.85,6735.0,120.65373901464713,74.99,183.633928050254,39.9,74.99,134.9,0,0.0,3,7,4.64046160674656,,,,59.9,2481,1,"[59.9, 69.9, 49.9, 89.9, 99.9, 39.9, 29.9, 79.9, 19.9, 29.99]","[np.int64(2481), np.int64(1987), np.int64(1953), np.int64(1548), np.int64(1432), np.int64(1339), np.int64(1318), np.int64(1214), np.int64(1201), np.int64(1176)]"
olist_order_items_dataset,freight_value,float64,112650,0,112650,0,0.0,6999,2075,110575,6.213049267643143,0.0,409.68,19.990319928983578,16.26,15.806405412296852,13.08,16.26,21.15,383,0.33999112294718153,3,6,4.728832667554372,,,,15.1,3707,1,"[15.1, 7.78, 14.1, 11.85, 18.23, 7.39, 16.11, 15.23, 8.72, 16.79]","[np.int64(3707), np.int64(2262), np.int64(1875), np.int64(1846), np.int64(1575), np.int64(1521), np.int64(1152), np.int64(1010), np.int64(921), np.int64(873)]"
olist_order_payments_dataset,order_id,object,103886,0,103886,0,0.0,99440,96479,7407,95.72030880003081,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,fa65dad1b0e818e3ccc5cb0e39231352,29,1,"['fa65dad1b0e818e3ccc5cb0e39231352', 'ccf804e764ed5650cd8759557269dc13', '285c2e15bebd4ac83635ccc563dc71f4', '895ab968e7bb0d5659d16cd74cd1650c', 'fedcd9f7ccdc8cba3a18defedd1a5547', 'ee9ca989fc93ba09a6eddc250ce01742', '4bfcba9e084f46c8e3cb49b0fa6e6159', '21577126c19bf11a0b91592e5844ba78', '3c58bffb70dcf45f12bdf66a3c215905', '4689b1816de42507a7d63a4617383c59']","[np.int64(29), np.int64(26), np.int64(22), np.int64(21), np.int64(19), np.int64(19), np.int64(15), np.int64(15), np.int64(14), np.int64(14)]"
olist_order_payments_dataset,payment_sequential,int64,103886,0,103886,0,0.0,29,3,103883,0.02791521475463489,1.0,29.0,1.0926785129853878,1.0,0.7065837791945014,1.0,1.0,1.0,0,0.0,1,2,1.0015497757156884,,,,1,99360,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[np.int64(99360), np.int64(3039), np.int64(581), np.int64(278), np.int64(170), np.int64(118), np.int64(82), np.int64(54), np.int64(43), np.int64(34)]"
olist_order_payments_dataset,payment_type,object,103886,0,103886,0,0.0,5,0,103886,0.004812968061143946,,,,,,,,,0,0.0,6,11,9.810725218027454,6.0,11.0,9.810725218027454,credit_card,76795,3,"['credit_card', 'boleto', 'voucher', 'debit_card', 'not_defined']","[np.int64(76795), np.int64(19784), np.int64(5775), np.int64(1529), np.int64(3)]"
olist_order_payments_dataset,payment_installments,int64,103886,0,103886,0,0.0,24,2,103884,0.02310224669349094,0.0,24.0,2.853348863176944,1.0,2.6870506738557367,1.0,1.0,4.0,2,0.0019251872244575785,1,2,1.05456943187725,,,,1,52546,1,"[1, 2, 3, 4, 10, 5, 8, 6, 7, 9]","[np.int64(52546), np.int64(12413), np.int64(10461), np.int64(7098), np.int64(5328), np.int64(5239), np.int64(4268), np.int64(3920), np.int64(1626), np.int64(644)]"
olist_order_payments_dataset,payment_value,float64,103886,0,103886,0,0.0,29077,13099,90787,27.989334462776505,0.0,13664.08,154.10038041699556,100.0,217.49406386472577,56.79,100.0,171.8375,9,0.008663342510059104,3,8,5.3588067689582815,,,,50.0,324,1,"[50.0, 20.0, 100.0, 77.57, 35.0, 73.34, 30.0, 116.94, 56.78, 107.78]","[np.int64(324), np.int64(274), np.int64(255), np.int64(250), np.int64(165), np.int64(160), np.int64(133), np.int64(131), np.int64(122), np.int64(116)]"
olist_order_reviews_dataset,review_id,object,99224,0,99224,0,0.0,98410,97621,1603,99.17963395952593,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,7b606b0d57b078384f0b58eac1d41d78,3,1,"['7b606b0d57b078384f0b58eac1d41d78', 'dbdf1ea31790c8ecfcc6750525661a9b', '32415bbf6e341d5d517080a796f79b5c', '0c76e7a547a531e7bf9f0b99cba071c1', '4219a80ab469e3fc9901437b73da3f75', 'abbfacb2964f74f6487c9c10ac46daa6', 'e44840754f12fad2b8646712121b349a', '70509c441d994fa03d6c1457930c9024', '2172867fd5b1a55f98fe4608e1547b4b', '832acec9bbf4efe65c3fb6423d8b4ed7']","[np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
olist_order_reviews_dataset,order_id,object,99224,0,99224,0,0.0,98673,98126,1098,99.44469080061276,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,c88b1d1b157a9999ce368f218a407141,3,1,"['c88b1d1b157a9999ce368f218a407141', '8e17072ec97ce29f0e1f111e598b0c85', 'df56136b8031ecd28e200bb18e6ddb2e', '03c939fd7fd3b38f8485a0f95798f1f6', '5cb890a68b91b6158d69257e4e2bc359', '2143393cca994a4b8235bc1d67ded772', '25320e12b3d6e8f54f17389037588bba', '0176a6846bcb3b0d3aa3116a9a768597', 'd9e44c3fd2ce16086619f299e92e12d8', '21cb4961399b846b168d0358100f473b']","[np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]"
olist_order_reviews_dataset,review_score,int64,99224,0,99224,0,0.0,5,0,99224,0.005039103442715472,1.0,5.0,4.08642062404257,5.0,1.3475791311148884,4.0,5.0,5.0,0,0.0,1,1,1.0,,,,5,57328,3151,"[5, 4, 1, 3, 2]","[np.int64(57328), np.int64(19142), np.int64(11424), np.int64(8179), np.int64(3151)]"
